
20260615 19:58:07 - MainProcess | MainThread | runner.register:18 - DEBUG -Registered hook 'on_session_start' for event 'OnSessionStart'
20260615 20:08:54 - MainProcess | MainThread | runtime._execute_step:615 - DEBUG -PostToolUse 25bed6f3-58ab-48d5-9a4b-61de455a4b30,2,25bed6f3-58ab-48d5-9a4b-61de455a4b30_2
20260615 20:08:54 - MainProcess | MainThread | runtime._execute_step:642 - DEBUG -执行完一次step 迭代, step_id: 25bed6f3-58ab-48d5-9a4b-61de455a4b30_2, step_counter:2
20260615 20:08:54 - MainProcess | MainThread | thresholds.should_auto_compact:70 - DEBUG -estimate_token: 2095 AUTOCOMPACT_THRESHOLD:7051
20260615 20:08:54 - MainProcess | MainThread | session_context.micro_compact:99 - DEBUG -micro compact 前,2095
20260615 20:08:54 - MainProcess | MainThread | micro.microcompact_messages:107 - DEBUG -micro compact total messages shreshold: 4230 ,single reuslt shreshold
20260615 20:08:54 - MainProcess | MainThread | session_context.micro_compact:105 - DEBUG -micro compact 后,2095
20260615 20:08:54 - MainProcess | MainThread | runtime._execute_request:404 - DEBUG -25bed6f3-58ab-48d5-9a4b-61de455a4b30,2, micro_compact
20260615 20:08:54 - MainProcess | MainThread | runner.dispatch:56 - DEBUG -Dispatching hook 'PreLLMCall', running callback 'pre_llm_call'
20260615 20:08:54 - MainProcess | MainThread | runtime._execute_step:509 - DEBUG -PreLLMCALL 25bed6f3-58ab-48d5-9a4b-61de455a4b30,3,25bed6f3-58ab-48d5-9a4b-61de455a4b30_3
20260615 20:08:56 - MainProcess | MainThread | async_client.__init__:97 - INFO -Init AsyncLLMClient with base_url=https://dashscope.aliyuncs.com/compatible-mode/v1, model=qwen3.7-plus
20260615 20:08:56 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"ToolExecutionStart","data":{"tool_name":"load_skill","tool_id":"call_176222eb6c664acba6bd305b","description":"执行工具: load_skill"},"state":"running"}
20260615 20:08:56 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"ToolExecutionEnd","data":{"tool_name":"load_skill","tool_id":"call_176222eb6c664acba6bd305b","description":"加载技能: modeling","state":"success"},"state":"running"}
20260615 20:08:56 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"ToolExecutionStart","data":{"tool_name":"read_file","tool_id":"call_16d7b2442b45489e9cdc9af7","description":"执行工具: read_file"},"state":"running"}
20260615 20:08:56 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"ToolExecutionEnd","data":{"tool_name":"read_file","tool_id":"call_16d7b2442b45489e9cdc9af7","description":"read_file 执行失败","state":"failure"},"state":"running"}
20260615 20:08:56 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"LLM_Thinking_Start","data":{"request_id":"25bed6f3-58ab-48d5-9a4b-61de455a4b30","prompt_tokens":3479,"message_count":8},"state":"running"}
20260615 20:08:58 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"LLM_Response_Chunk","data":"让我再","state":"running"}
20260615 20:08:58 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"LLM_Response_Chunk","data":"看一下更多样本","state":"running"}
20260615 20:08:58 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"LLM_Response_Chunk","data":"数据，了解内容","state":"running"}
20260615 20:08:58 - MainProcess | MainThread | agent_adapter_service.stream_message:84 - INFO -stream message {"event_type":"LLM_Response_Chunk","data":"分布情况：\n\n","state":"running"}
20260615 20:09:00 - MainProcess | MainThread | async_client._safe_build_tool_calls:21 - WARNING -Failed to parse tool call arguments for read_file, using raw string: Expecting value: line 1 column 24 (char 23)
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:513 - DEBUG -{'content': '让我再看一下更多样本数据，了解内容分布情况：\n\n', 'tool_calls': [{'id': 'call_d7b68a6eb2b14109943d60d2', 'name': 'read_file', 'arguments': {'_raw_arguments': '{"path": "", "offset": , "limit": }'}}, {'id': 'call_998b6f44a75041f3a8bbe5d6', 'name': 'list_directory', 'arguments': {'path': ''}}], 'finish_reason': 'tool_calls'}
20260615 20:09:00 - MainProcess | MainThread | runner.dispatch:56 - DEBUG -Dispatching hook 'PostLLMCall', running callback 'post_llm_call'
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:530 - DEBUG -PostLLMCall 25bed6f3-58ab-48d5-9a4b-61de455a4b30,3,25bed6f3-58ab-48d5-9a4b-61de455a4b30_3
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:583 - DEBUG -PreToolUse 25bed6f3-58ab-48d5-9a4b-61de455a4b30,3,25bed6f3-58ab-48d5-9a4b-61de455a4b30_3
20260615 20:09:00 - MainProcess | MainThread | runner.dispatch:56 - DEBUG -Dispatching hook 'PreToolUse', running callback 'pre_tool_use'
20260615 20:09:00 - MainProcess | MainThread | file.execute:196 - WARNING -read_file 执行异常: 'path'
20260615 20:09:00 - MainProcess | MainThread | runner.dispatch:56 - DEBUG -Dispatching hook 'PostToolUse', running callback 'post_tool_use'
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:615 - DEBUG -PostToolUse 25bed6f3-58ab-48d5-9a4b-61de455a4b30,3,25bed6f3-58ab-48d5-9a4b-61de455a4b30_3
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:583 - DEBUG -PreToolUse 25bed6f3-58ab-48d5-9a4b-61de455a4b30,3,25bed6f3-58ab-48d5-9a4b-61de455a4b30_3
20260615 20:09:00 - MainProcess | MainThread | runner.dispatch:56 - DEBUG -Dispatching hook 'PreToolUse', running callback 'pre_tool_use'
20260615 20:09:00 - MainProcess | MainThread | runner.dispatch:56 - DEBUG -Dispatching hook 'PostToolUse', running callback 'post_tool_use'
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:615 - DEBUG -PostToolUse 25bed6f3-58ab-48d5-9a4b-61de455a4b30,3,25bed6f3-58ab-48d5-9a4b-61de455a4b30_3
20260615 20:09:00 - MainProcess | MainThread | runtime._execute_step:642 - DEBUG -执行完一次step 迭代, step_id: 25bed6f3-58ab-48d5-9a4b-61de455a4b30_3, step_counter:3
20260615 20:09:00 - MainProcess | MainThread | thresholds.should_auto_compact:70 - DEBUG -estimate_token: 2155 AUTOCOMPACT_THRESHOLD:7051
20260615 20:09:00 - MainProcess | MainThread | session_context.micro_compact:99 - DEBUG -micro compact 前,2155
20260615 20:09:00 - MainProcess | MainThread | micro.microcompact_messages:107 - DEBUG -micro compact total messages shreshold: 4230 ,single reuslt shreshold
